Network Type,Latitude,Longitude
3G,25.59910862,85.1373547
4G,25.43328559,85.07005348
LTE,25.49880889,85.2113714
5G,25.73513844,85.20839952
5G,25.53855564,85.15985987
LTE,25.64070078,85.01413424
4G,25.76633295,85.0961902
LTE,25.64010416,85.03386136
LTE,25.58570486,85.30570388
3G,25.56449947,85.08860677
4G,25.59368406,85.28094254
LTE,25.72900221,85.12084335
4G,25.55560936,85.26554176
4G,25.6246223,85.14489697
3G,25.69898134,85.19394132
5G,25.68217001,85.19489755
3G,25.47077801,85.10644997
5G,25.65077154,85.14411689
5G,25.47373674,85.07538848
LTE,25.51604846,84.98010977
4G,25.70425662,85.01557056
5G,25.69145718,85.07264033
LTE,25.53501143,85.2578581
LTE,25.50170262,85.0840042
3G,25.57327876,85.15804183
5G,25.60091056,84.98462894
5G,25.74431176,85.23083312
3G,25.43893442,85.17811927
LTE,25.42684606,85.12153953
3G,25.62679951,85.04888047
5G,25.47641965,85.11313913
4G,25.52823026,85.05166311
LTE,25.70536483,85.11599116
LTE,25.6548263,85.16314568
LTE,25.45603305,85.06782614
LTE,25.48690592,85.10751143
3G,25.70627418,85.02788749
4G,25.65835235,85.09594129
4G,25.63581647,85.15962772
4G,25.53358947,85.22432964
3G,25.64658703,85.13656904
LTE,25.75144497,85.08219492
LTE,25.66522971,85.18889829
LTE,25.5007208,85.07809673
LTE,25.62822156,85.07984583
4G,25.45839977,85.23059474
5G,25.59165725,85.16923764
3G,25.64130468,85.11060159
5G,25.76176493,85.07611511
4G,25.65671208,85.19681774
4G,25.48793891,85.28235232
4G,25.62345373,85.28280417
LTE,25.62730572,85.1284644
3G,25.64360237,85.09598789
LTE,25.42838935,85.14265496
5G,25.42204582,85.17552553
5G,25.58070625,85.20059391
3G,25.490983,85.23012025
5G,25.51040384,85.01525476
LTE,25.55015522,85.29186456
5G,25.47666514,85.22804933
3G,25.74072996,85.22124668
LTE,25.6843019,85.09870188
LTE,25.70800837,85.16965724
4G,25.4844918,85.06990191
4G,25.55048731,85.15577249
LTE,25.49604166,85.17029586
5G,25.56805733,85.10611863
3G,25.6745762,85.26870673
3G,25.54889205,85.06745431
5G,25.71690623,85.01917636
4G,25.7203341,85.09787672
3G,25.75485769,85.2015611
4G,25.71255761,85.23174342
4G,25.49095563,85.2733317
3G,25.58789406,85.28099218
LTE,25.61832403,84.96832891
LTE,25.44415655,85.170913
4G,25.50157771,85.04670764
4G,25.42183139,85.14088711
3G,25.43955091,85.0586534
LTE,25.47538118,85.18502597
LTE,25.5737956,85.08420981
4G,25.53678435,85.16977848
5G,25.54275654,85.06531043
3G,25.43272611,85.1893398
5G,25.53673129,85.21687169
LTE,25.51954989,85.29046675
4G,25.61433941,85.13663475
5G,25.6573561,84.99817029
3G,25.50161514,84.99668892
5G,25.65507162,85.22029899
LTE,25.51607436,85.04042659
5G,25.60835341,85.0949815
4G,25.46506129,85.06039746
LTE,25.54169399,85.17626392
5G,25.48291241,85.20709278
4G,25.6048948,85.20664528
5G,25.43246496,85.17892521
LTE,25.56349209,85.1834621
3G,25.53871436,85.08970743
4G,25.69621051,85.1357252
LTE,25.53727631,85.27106724
5G,25.71537935,85.23332479
5G,25.6292529,85.11166889
4G,25.75766443,85.11881244
3G,25.71478792,85.02029445
4G,25.61610915,85.11373098
LTE,25.60056943,85.2024887
3G,25.475462,85.15693454
3G,25.69079035,85.19651214
LTE,25.57481023,85.04163503
3G,25.46133584,85.21875694
3G,25.49687152,85.14617449
LTE,25.54463272,85.244696
4G,25.62302961,85.18821531
4G,25.5523205,85.10439583
LTE,25.62249227,85.07392712
3G,25.44630281,85.09027242
4G,25.68475962,85.03551551
LTE,25.72139463,85.07412697
LTE,25.60884073,84.99252394
LTE,25.57711757,85.07126743
LTE,25.49075348,85.07572064
3G,25.46761853,85.05339119
3G,25.71633659,85.08024013
LTE,25.69797652,85.10869081
5G,25.65793638,85.21149341
5G,25.73769711,85.08978857
3G,25.53560512,85.24075494
3G,25.65069761,85.09618269
3G,25.62182009,84.99856976
4G,25.53923593,84.99878318
LTE,25.70715135,85.22980767
LTE,25.52260743,85.14804998
3G,25.56363065,85.14127616
4G,25.49421789,85.08762015
5G,25.53242154,85.166575
LTE,25.61702364,84.98613606
3G,25.586653,84.9914685
5G,25.66923069,85.26897517
